productImage,productName,productID,productCategory,productPrice,productDescription,,.
https://cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg,AMD Ryzen 5 5600X,1,CPU,17500,3.7 GHz 6-Core,,
https://cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg,AMD Ryzen 7 5800X,2,CPU,22500,3.8 GHz 8-Core,,
https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,AMD Ryzen 9 5900X,3,CPU,47800,3.7 GHz 12-Core,,
https://cdna.pcpartpicker.com/static/forever/images/product/1dd09dfdc581be6224a323d49d714c7f.256p.jpg,AMD Ryzen 5 5600G,4,CPU,29700,3.9 GHz 6-Core,,
https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,AMD Ryzen 5 3600,5,CPU,52500,3.6 GHz 6-Core,,
https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,AMD Ryzen 9 5950X,6,CPU,67000,3.4 GHz 16-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,AMD Ryzen 5 5600,7,CPU,45000,3.5 GHz 6-Core,,
https://cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg,Intel Core i3-12100F,8,CPU,52000,3.3 GHz 4-Core,,
https://cdna.pcpartpicker.com/static/forever/images/product/e5d8c71ba7c15404b87a7fcdf7251281.256p.jpg,Intel Core i5-10400F,9,CPU,30000,2.9 GHz 6-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/f599944d7bed683e57062447764ce9d9.256p.jpg,AMD Ryzen 7 5700G,10,CPU,35800,3.8 GHz 8-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/15d32b9ce80c52b0439123e9c5a12979.256p.jpg,AMD Ryzen 7 5700X,11,CPU,43900,3.4 GHz 8-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,AMD Ryzen 5 5500,12,CPU,35000,3.6 GHz 6-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,AMD Ryzen 7 3700X,13,CPU,40000,3.6 GHz 8-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/1b6a8775e713620ebc864fb7bcc38ce5.256p.jpg,Intel Core i3-10100F,14,CPU,45000,3.6 GHz 4-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/7e2e7fecadc261c89c70cf3965a97a28.256p.jpg,AMD Threadripper 3990X,15,CPU,48000,2.9 GHz 64-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg,AMD Ryzen 7 5800X3D,16,CPU,50000,3.4 GHz 8-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg,AMD Ryzen 5 4500,17,CPU,51500,3.6 GHz 6-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/104690dc90e6297964380eeb9204f524.256p.jpg,Intel Core i3-10105F,18,CPU,53000,3.7 GHz 4-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,AMD Ryzen 7 3800X,19,CPU,56500,3.9 GHz 8-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/614673693f9281d17b521cbf52799c68.256p.jpg,AMD Ryzen 3 3100,20,CPU,59000,3.6 GHz 4-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/7fc9bd473f09de3bff4a5a44e832f399.256p.jpg,Intel Core i3-12100,21,CPU,63700,3.3 GHz 4-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/c18ee131d4d211b2ad40882e5b997371.256p.jpg,Intel Core i5-10400,22,CPU,66400,2.9 GHz 6-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/55aea2dd64e2e3a3e3b1d678048d8d76.256p.jpg,AMD Ryzen 5 2600,23,CPU,49500,3.4 GHz 6-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/14adcd1fc88ebf386b746037c966b6af.256p.jpg,AMD Ryzen 9 3900X,24,CPU,61500,3.8 GHz 12-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/4e84967ef18c9b42e543b58c836d73ef.256p.jpg,AMD Ryzen 7 2700X,25,CPU,68500,3.7 GHz 8-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/c770299ed161e4589288e53b3c315088.256p.jpg,Intel Core i5-11400,26,CPU,53450,2.6 GHz 6-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/29ffd579cd750d1f43cba3ba1c578d8c.256p.jpg,AMD Ryzen 5 4600G,27,CPU,55000,3.7 GHz 6-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,AMD Ryzen 5 3600X,28,CPU,70000,3.8 GHz 6-Core ,,
https://m.media-amazon.com/images/I/419h1NMeqvL.jpg,Intel Core i3-10100,29,CPU,78000,3.6 GHz 4-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/3567a863156c083a7d4c8fcb7e0dbdac.256p.jpg,AMD Ryzen 3 3200G,30,CPU,88500,3.6 GHz 4-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/d28d05f1c9972e51ef212760baca9612.256p.jpg,Intel Core i5-10600KF,31,CPU,89000,4.1 GHz 6-Core ,,
https://cdna.pcpartpicker.com/static/forever/images/product/cec5ee818776737baefc9603bdbf9391.256p.jpg,Intel Core i5-10600K,32,CPU,106000,4.1 GHz 6-Core ,,
